category,relative_log_path,device,particles,steps,density,temperature,seed,log_energies,gpu_block_size,box_size,time_seconds,start_ke,start_pe,start_total,final_ke,final_pe,final_total,delta_total,final_state
basic,basic/gpu/block_128/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.456565,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.457761,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,128,86.666667,8.456048,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_128/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.979549,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_02.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.976209,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_03.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.978842,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_04.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.977014,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_128/particles_8000/run_05.log,gpu,8000,5000,0.95,0.5,42,0,128,122.666667,15.983684,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261832,-5024.8174906615,-0.3343266975,-
basic,basic/gpu/block_256/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.970922,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.8626,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.863104,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.861061,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,256,44.0,2.863287,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
basic,basic/gpu/block_256/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813914,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813474,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813441,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813689,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,256,61.333333,4.813296,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
basic,basic/gpu/block_256/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.71696,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.729075,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.711411,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.715533,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,256,86.666667,8.711146,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692929,-1540.6726453716,-0.2662901464,-
basic,basic/gpu/block_256/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,256,122.666667,16.605518,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.588317,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.588239,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_03.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.589317,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_04.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.592408,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_1000/run_05.log,gpu,1000,5000,0.95,0.5,42,0,1024,44.0,6.592264,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_01.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.550646,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
