category,relative_log_path,device,particles,steps,density,temperature,seed,log_energies,gpu_block_size,box_size,time_seconds,start_ke,start_pe,start_total,final_ke,final_pe,final_total,delta_total,final_state
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_02.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549607,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_03.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549184,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_04.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.5544,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_2000/run_05.log,gpu,2000,5000,0.95,0.5,42,0,1024,61.333333,10.549209,1000.0,-2209.7222426854,-1209.7222426854,2002.767543507,-3212.5895124752,-1209.8219689683,-0.0997262828,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_01.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.242229,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_02.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.248573,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_03.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.24321,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_04.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.24392,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_4000/run_05.log,gpu,4000,5000,0.95,0.5,42,0,1024,86.666667,18.243828,2000.0,-3540.4063552252,-1540.4063552252,5099.9528239213,-6640.6254692928,-1540.6726453716,-0.2662901464,-
block_sweep,block-sweep/block_1024/gpu/particles_8000/run_01.log,gpu,8000,5000,0.95,0.5,42,0,1024,122.666667,33.438938,4000.0,-9024.483163964,-5024.483163964,9688.0233355217,-14712.8408261831,-5024.8174906614,-0.3343266974,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_01.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.737706,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
block_sweep,block-sweep/block_128/gpu/particles_1000/run_02.log,gpu,1000,5000,0.95,0.5,42,0,128,44.0,2.738285,500.0,-1374.6937798533,-874.6937798533,742.0151925042,-1616.7049722225,-874.6897797182,0.004000135,-
