particles,steps,best_gpu_block_size,mean_time_s,stddev_time_s,runs
1000,5000,128,2.737995,0.000568,5
2000,5000,128,4.687594,0.001321,5
4000,5000,128,8.459258,0.001185,5
8000,5000,128,15.971638,0.000000,1
